,epoch,train_loss,val_loss,train_acc,val_acc
0,0,0.24405667751650267,0.27044219970703126,0.9067460317460317,0.8789808917197452
1,1,0.1352307162707365,0.11552788019180298,0.9543650793650794,0.9633757961783439
2,2,0.10217554357987416,0.10331964492797852,0.9626984126984127,0.9554140127388535
3,3,0.07966090455839905,0.09673002362251282,0.9698412698412698,0.9681528662420382
4,4,0.08004816876182073,0.06090096831321716,0.9742063492063492,0.9761146496815286
5,5,0.07392554947092564,0.1488208293914795,0.9789682539682539,0.9315286624203821
6,6,0.05453855780106556,0.22555644512176515,0.9825396825396825,0.9219745222929936
7,7,0.0599236729778821,0.07664845585823059,0.9825396825396825,0.9761146496815286
8,8,0.05396405956413172,0.1662858843803406,0.9833333333333333,0.9506369426751592
9,9,0.04204866252368009,0.0430016815662384,0.9865079365079366,0.9856687898089171
10,10,0.04496370991574058,0.09410004615783692,0.9853174603174604,0.9761146496815286
11,11,0.03714063801342928,0.06183990240097046,0.9873015873015873,0.9792993630573248
12,12,0.04900022699863096,0.13205183744430543,0.984920634920635,0.9570063694267515
13,13,0.02679153937327711,0.05442022681236267,0.9920634920634921,0.9840764331210191
14,14,0.03771313232711599,0.04217301309108734,0.986904761904762,0.982484076433121
15,15,0.025955130782308457,0.0718170166015625,0.9912698412698413,0.9808917197452229
16,16,0.03729347035854678,0.04940587878227234,0.9865079365079366,0.9792993630573248
17,17,0.048236243332488625,0.07380342483520508,0.9853174603174604,0.9745222929936306
18,18,0.027022096175181715,0.05221756100654602,0.9916666666666667,0.9777070063694268
19,19,0.03427946416637565,0.038358017802238464,0.9857142857142858,0.9856687898089171
20,20,0.01644875882547113,0.09462481737136841,0.9940476190476191,0.9745222929936306
21,21,0.017983243435244017,0.045136052370071414,0.9940476190476191,0.9808917197452229
22,22,0.016372952280165273,0.047142916917800905,0.9944444444444445,0.9872611464968153
23,23,0.03972510748271701,0.11006011962890624,0.9876984126984127,0.9681528662420382
24,24,0.030140258088896546,0.052287065982818605,0.9900793650793651,0.9840764331210191
25,25,0.04089792770675466,0.06097201108932495,0.9873015873015873,0.9840764331210191
26,26,0.03348442572581617,0.05057934522628784,0.9892857142857143,0.9792993630573248
27,27,0.018579769738112824,0.054081392288208005,0.9932539682539683,0.982484076433121
28,28,0.014873116831236247,0.0982984483242035,0.9948412698412699,0.9681528662420382
29,29,0.027757194977772386,0.06308208703994751,0.9912698412698413,0.9777070063694268
30,30,0.023901826218713687,0.04184838235378265,0.9920634920634921,0.9856687898089171
31,31,0.02740148049366625,0.07127114534378051,0.9912698412698413,0.9729299363057324
32,32,0.0252472313144539,0.053170084953308105,0.9916666666666667,0.9840764331210191
33,33,0.02875708326508727,0.10715453624725342,0.9916666666666667,0.964968152866242
34,34,0.009606467017644569,0.05540235042572021,0.9968253968253968,0.982484076433121
35,35,0.019787913636316226,0.066632741689682,0.9932539682539683,0.9777070063694268
36,36,0.0191772361344929,0.05740586519241333,0.9928571428571429,0.9856687898089171
37,37,0.02798655365086809,0.05351186394691467,0.9928571428571429,0.9872611464968153
38,38,0.015989880018596407,0.03918074369430542,0.9952380952380953,0.9872611464968153
39,39,0.012329324891295615,0.07633493542671203,0.9952380952380953,0.9840764331210191
40,40,0.027413594571849966,0.05054312348365784,0.9912698412698413,0.9872611464968153
41,41,0.01188701617566845,0.0705622136592865,0.9972222222222222,0.9792993630573248
42,42,0.016153844096992588,0.07941135168075561,0.9944444444444445,0.9729299363057324
43,43,0.019399514681176296,0.06452943086624145,0.9944444444444445,0.9792993630573248
44,44,0.01309760461879682,0.05042518973350525,0.9948412698412699,0.9872611464968153
45,45,0.0175692340995692,0.12627823352813722,0.9936507936507937,0.9713375796178344
46,46,0.03200533118429063,0.07785951495170593,0.9873015873015873,0.9761146496815286
47,47,0.02451347399361526,0.06880801916122437,0.9924603174603175,0.9761146496815286
48,48,0.016459203973601136,0.05070475935935974,0.996031746031746,0.982484076433121
